=== Stop-and-wait ===
Loss  Size   Result  Comment
   0   200     PASS  2 packets in 0.051s
  30   200     PASS  2 packets in 0.110s
  30   200     PASS  2 packets in 0.031s
  30   200     PASS  2 packets in 0.030s
  30   200     PASS  2 packets in 0.132s
  30   200     PASS  2 packets in 0.125s
   0   248     PASS  2 packets in 0.030s
  30   248     PASS  2 packets in 0.106s
  30   248     PASS  2 packets in 0.030s
  30   248     PASS  2 packets in 0.031s
  30   248     PASS  2 packets in 0.105s
  30   248     PASS  2 packets in 0.105s
   0   256     PASS  4 packets in 0.059s
  30   256     PASS  4 packets in 0.158s
  30   256     PASS  4 packets in 0.466s
  30   256     PASS  4 packets in 0.231s
  30   256     PASS  4 packets in 0.059s
  30   256     PASS  4 packets in 0.056s
   0  1000     PASS  8 packets in 0.181s
  30  1000     PASS  8 packets in 0.258s
  30  1000     PASS  8 packets in 0.292s
  30  1000     PASS  8 packets in 0.169s
  30  1000     PASS  8 packets in 0.160s
  30  1000     PASS  8 packets in 0.293s
   0  1016     PASS  10 packets in 0.181s
  30  1016     PASS  10 packets in 0.222s
  30  1016     PASS  10 packets in 0.187s
  30  1016     PASS  10 packets in 0.359s
  30  1016     PASS  10 packets in 0.324s
  30  1016     PASS  10 packets in 0.231s
   0  1024     PASS  10 packets in 0.187s
  30  1024     PASS  10 packets in 0.654s
  30  1024     PASS  10 packets in 0.197s
  30  1024     PASS  10 packets in 0.604s
  30  1024     PASS  10 packets in 0.161s
  30  1024     PASS  10 packets in 0.223s
   0  2560     PASS  22 packets in 0.394s
  30  2560     PASS  24 packets in 0.690s
  30  2560     PASS  22 packets in 0.505s
  30  2560     PASS  22 packets in 0.779s
  30  2560     PASS  24 packets in 0.783s
  30  2560     PASS  22 packets in 0.719s
   0  5120     PASS  71 packets in 1.037s
  30  5120     PASS  41 packets in 1.671s
  30  5120     PASS  42 packets in 1.086s
  30  5120     PASS  42 packets in 1.486s
  30  5120     PASS  42 packets in 1.180s
  30  5120     PASS  42 packets in 1.798s
